model,modal,n_images,timestamp,EN,MI,VAR,AG,SF,EI,NCIE,MI_mutual,NABF,FMI,CE,SSIM,PSNR,RMSE,QG,QM,QC,QS,QCB,QCV,QY,QMI,QSF,QNCIE,QTE
DDBFusion,SPECT,24,20260424_004651,4.776926361942305,40.65360959370931,52.64269541768376,4.582080954479962,15.996854867585455,45.89945206699292,0.8066011023197953,2.062521914574592,0.008642303122035254,0.6126497334483291,0.887916501397159,1.4441618826915537,58.22323002265017,0.09906724173895858,0.4133570345716415,0.003032613304655147,0.4439201818295964,0.422843654546361,0.875343399381605,138.7580550772968,0.8420589001217617,0.7092803407642269,0.3049111690397235,0.8066011023197953,-9.630496242370183
ECINFusion,CT,24,20260424_004806,5.004558389664033,50.08975791931152,55.633102263741954,4.55818561337935,18.020646195741353,46.36256757132867,0.8069967561406148,2.1231278199590666,1.5478799634698114e-05,0.20569849969208395,5.564298491081817,1.2166086329100938,56.1170830660897,0.15969470976702357,0.2966135343204655,0.0017158931008193976,0.34945377828557317,0.3177109396139087,0.8090374577553173,609.1731717038875,0.6780935212747797,0.7407296389206013,0.5289360468494763,0.8069967561406148,-7.300032844146869
ECINFusion,PET,24,20260424_004920,5.337451797325346,73.46401532491048,59.9308826159423,8.32828524284893,25.93495454168854,84.43075744623448,0.8166957396284328,3.152762584863313,2.0126923961967545e-06,0.29793338231730526,0.5937959412826839,0.6660129671664691,55.361808021143304,0.18952972739248564,0.7572644958035138,0.005750299165843791,0.5598799252974254,0.4532855414302112,0.8864508678203628,115.33339525517931,0.5919358868886457,0.9634752851849083,0.28966654784587637,0.8166957396284328,-5.547131500379521
GeSeNet,CT,24,20260424_005032,5.206197477377935,69.76699129740398,81.47380391594936,8.765941552371027,35.659776450555476,88.33708908971687,0.8067899905491828,2.0722549486650386,0.017619333237577067,0.19559506650509872,6.1946814184366445,0.966909477020082,55.12562734489919,0.2003978496561741,0.6291835586016288,0.008589836905093177,0.4607234785769334,0.38202783916563154,0.8082770718025202,589.1616290316156,0.6652388293026957,0.7079701889841378,0.07059648712348882,0.8067899905491828,-8.423286413845288
GeSeNet,PET,24,20260424_005147,6.0480819975285565,81.17367553710938,86.1495052104089,11.355951228561116,34.56337663049436,116.25590424286882,0.8074733586278481,2.1191469151878026,0.01416060540072063,0.2518612664473026,4.498718086141088,1.0272417835893155,55.22825528584834,0.19563487128200563,0.737554394893628,0.01575624232795309,0.595314389467488,0.5481834916689293,0.8928929231498096,71.23331239804222,0.7554157768419169,0.6137962005275174,0.04698714536464524,0.8074733586278481,-5.635857072983622
GeSeNet,SPECT,24,20260424_005303,5.476974196626634,51.88038317362467,62.65192210218379,7.058522435345625,22.326918508360297,71.275884191868,0.8081774261896001,2.297213561996877,0.026446072945667764,0.2566331870903557,5.388102378932385,1.04213534397845,57.549706419920916,0.11510574353560132,0.7255643475687319,0.03561507469896568,0.5775309961377922,0.5204234432714956,0.875515557400015,43.20787653150551,0.7493472736690631,0.7223793855463075,0.02140839163663034,0.8081774261896001,-11.236051614314135
ITFuse,CT,24,20260424_005411,4.792113026883807,69.51351737976074,55.783026062445145,3.3375427364049166,10.900856235216674,35.85800559245454,0.8061247408585762,1.9054254363076568,0.0012537995248571127,0.17426007527022577,0.8844649838559026,0.5406380754410985,55.666992255339515,0.17692865439729022,0.16111730765651014,0.001089336048988459,0.29740962210733907,0.259299310344381,0.7795313367492952,840.5611725295835,0.33971744179398106,0.6844965643326724,0.7040979708702583,0.8061247408585762,-6.364375130069135
ITFuse,PET,24,20260424_005516,5.70371921751011,72.98430506388347,59.945501066949625,4.464193186421978,11.541563682277314,48.17035779675805,0.8060299054927474,1.9327247026493726,0.0008060512329714917,0.21307439545850784,0.3904962685536551,0.5513997815197392,55.62531834715878,0.17855456671799708,0.1819915944042969,0.001176299276685334,0.37893175415394387,0.35685772361967855,0.8705805148849773,447.74218483155937,0.40043557657413453,0.5909547511844736,0.6751926957297195,0.8060299054927474,-3.540415771500425
ITFuse,SPECT,24,20260424_005621,4.871006461909663,55.68094952901205,43.57907000016417,2.688017716478898,7.548263421427564,28.81428055193794,0.8062209493694418,1.9719713858028012,0.0009777569637953196,0.2042766502119082,0.5938173273169821,0.6052208783803733,57.49835296900269,0.11619251669930179,0.17181054150228228,0.001460672798756041,0.33364538996431925,0.3110092132886035,0.8328696215360757,216.41553538078531,0.38070925944622697,0.6714566545517578,0.6617665195343359,0.8062209493694418,-6.310459000121637
LRFNet,CT,24,20260424_005727,4.485246277315891,53.6091054280599,63.24540437430247,6.413479809636378,22.411100770143346,65.25740242251928,0.8071064689922368,2.1028340223036004,0.004359234033473178,0.6941169020465575,1.211625910479982,1.4685069494642817,55.99227964544525,0.16429446767434983,0.4834052252429239,0.004105700348737633,0.4187339688968151,0.3345955899799444,0.7617085552510926,869.9345130901947,0.89143600969278,0.7781047787479123,0.40303972863281395,0.8071064689922368,-8.202356579020103
